Gene_name	Gene_ID	Transcript_ID	RefSeq_ID	Strand	Chromosome	Exon_region_start	Exon_region_end	Exon_rank_in_transcript
BLM	ENSG00000197299	ENST00000355112	NM_001287246	1	chr15	91260558	91260671	1
BLM	ENSG00000197299	ENST00000355112	NM_001287246	1	chr15	91290619	91290720	2
BLM	ENSG00000197299	ENST00000355112	NM_001287246	1	chr15	91292597	91293297	3
BLM	ENSG00000197299	ENST00000355112	NM_001287246	1	chr15	91295017	91295176	4
BLM	ENSG00000197299	ENST00000355112	NM_001287246	1	chr15	91298041	91298168	5
BLM	ENSG00000197299	ENST00000355112	NM_001287246	1	chr15	91303377	91303509	6
BLM	ENSG00000197299	ENST00000355112	NM_001287246	1	chr15	91303824	91304485	7
BLM	ENSG00000197299	ENST00000355112	NM_001287246	1	chr15	91306196	91306387	8
BLM	ENSG00000197299	ENST00000355112	NM_001287246	1	chr15	91308526	91308644	9
BLM	ENSG00000197299	ENST00000355112	NM_001287246	1	chr15	91310140	91310253	10
BLM	ENSG00000197299	ENST00000355112	NM_001287246	1	chr15	91312363	91312461	11
BLM	ENSG00000197299	ENST00000355112	NM_001287246	1	chr15	91312668	91312816	12
BLM	ENSG00000197299	ENST00000355112	NM_001287246	1	chr15	91326052	91326158	13
BLM	ENSG00000197299	ENST00000355112	NM_001287246	1	chr15	91328151	91328311	14
BLM	ENSG00000197299	ENST00000355112	NM_001287246	1	chr15	91333879	91334074	15
BLM	ENSG00000197299	ENST00000355112	NM_001287246	1	chr15	91337397	91337587	16
BLM	ENSG00000197299	ENST00000355112	NM_001287246	1	chr15	91341420	91341567	17
BLM	ENSG00000197299	ENST00000355112	NM_001287246	1	chr15	91346751	91346950	18
BLM	ENSG00000197299	ENST00000355112	NM_001287246	1	chr15	91347397	91347589	19
BLM	ENSG00000197299	ENST00000355112	NM_001287246	1	chr15	91352367	91352489	20
BLM	ENSG00000197299	ENST00000355112	NM_001287246	1	chr15	91354435	91354636	21
BLM	ENSG00000197299	ENST00000355112	NM_001287246	1	chr15	91358332	91358692	22
SMARCB1	ENSG00000099956	ENST00000263121	NM_003073	1	chr22	24133943	24134081	2
SMARCB1	ENSG00000099956	ENST00000263121	NM_003073	1	chr22	24135746	24135875	3
SMARCB1	ENSG00000099956	ENST00000263121	NM_003073	1	chr22	24145482	24145609	5
SMARCB1	ENSG00000099956	ENST00000263121	NM_003073	1	chr22	24158957	24159123	6
SMARCB1	ENSG00000099956	ENST00000263121	NM_003073	1	chr22	24167412	24167602	7
SMARCB1	ENSG00000099956	ENST00000263121	NM_003073	1	chr22	24175759	24175890	8
SMARCB1	ENSG00000099956	ENST00000263121	NM_003073	1	chr22	24176328	24176703	9
SMARCB1	ENSG00000099956	ENST00000263121	NM_003073	1	chr22	24129161	24129449	1
SMARCB1	ENSG00000099956	ENST00000263121	NM_003073	1	chr22	24143131	24143268	4
RECQL4	ENSG00000160957	ENST00000428558	NM_004260	-1	chr8	145739573	145739746	11
RECQL4	ENSG00000160957	ENST00000428558	NM_004260	-1	chr8	145739312	145739491	12
RECQL4	ENSG00000160957	ENST00000428558	NM_004260	-1	chr8	145738955	145739096	13
RECQL4	ENSG00000160957	ENST00000428558	NM_004260	-1	chr8	145738230	145738521	16
RECQL4	ENSG00000160957	ENST00000428558	NM_004260	-1	chr8	145738025	145738154	17
RECQL4	ENSG00000160957	ENST00000428558	NM_004260	-1	chr8	145741148	145741274	6
RECQL4	ENSG00000160957	ENST00000428558	NM_004260	-1	chr8	145740710	145740841	7
RECQL4	ENSG00000160957	ENST00000428558	NM_004260	-1	chr8	145740534	145740626	8
RECQL4	ENSG00000160957	ENST00000428558	NM_004260	-1	chr8	145739826	145739909	10
RECQL4	ENSG00000160957	ENST00000428558	NM_004260	-1	chr8	145742434	145742574	4
RECQL4	ENSG00000160957	ENST00000428558	NM_004260	-1	chr8	145743085	145743210	1
RECQL4	ENSG00000160957	ENST00000428558	NM_004260	-1	chr8	145742986	145743019	2
RECQL4	ENSG00000160957	ENST00000428558	NM_004260	-1	chr8	145742798	145742892	3
RECQL4	ENSG00000160957	ENST00000428558	NM_004260	-1	chr8	145741372	145742148	5
RECQL4	ENSG00000160957	ENST00000428558	NM_004260	-1	chr8	145740320	145740456	9
RECQL4	ENSG00000160957	ENST00000428558	NM_004260	-1	chr8	145738770	145738864	14
RECQL4	ENSG00000160957	ENST00000428558	NM_004260	-1	chr8	145738601	145738768	15
RECQL4	ENSG00000160957	ENST00000428558	NM_004260	-1	chr8	145737775	145737944	18
RECQL4	ENSG00000160957	ENST00000428558	NM_004260	-1	chr8	145737527	145737707	19
RECQL4	ENSG00000160957	ENST00000428558	NM_004260	-1	chr8	145737294	145737450	20
RECQL4	ENSG00000160957	ENST00000428558	NM_004260	-1	chr8	145737064	145737172	21
RECQL4	ENSG00000160957	ENST00000428558	NM_004260	-1	chr8	145736667	145736938	22
HNF1A	ENSG00000135100	ENST00000257555	-	1	chr12	121416346	121416897	1
HNF1A	ENSG00000135100	ENST00000257555	-	1	chr12	121426636	121426835	2
HNF1A	ENSG00000135100	ENST00000257555	-	1	chr12	121431323	121431509	3
HNF1A	ENSG00000135100	ENST00000257555	-	1	chr12	121431967	121432208	4
HNF1A	ENSG00000135100	ENST00000257555	-	1	chr12	121434065	121434216	5
HNF1A	ENSG00000135100	ENST00000257555	-	1	chr12	121434344	121434545	6
HNF1A	ENSG00000135100	ENST00000257555	-	1	chr12	121435277	121435468	7
HNF1A	ENSG00000135100	ENST00000257555	-	1	chr12	121437071	121437192	8
HNF1A	ENSG00000135100	ENST00000257555	-	1	chr12	121437286	121437430	9
HNF1A	ENSG00000135100	ENST00000257555	-	1	chr12	121438868	121440315	10
SMAD4	ENSG00000141646	ENST00000398417	-	1	chr18	48573290	48573665	2
SMAD4	ENSG00000141646	ENST00000398417	-	1	chr18	48555984	48556114	1
SMAD4	ENSG00000141646	ENST00000398417	-	1	chr18	48575056	48575230	3
SMAD4	ENSG00000141646	ENST00000398417	-	1	chr18	48575665	48575694	4
SMAD4	ENSG00000141646	ENST00000398417	-	1	chr18	48581151	48581363	5
SMAD4	ENSG00000141646	ENST00000398417	-	1	chr18	48584495	48584614	6
SMAD4	ENSG00000141646	ENST00000398417	-	1	chr18	48584710	48584826	7
SMAD4	ENSG00000141646	ENST00000398417	-	1	chr18	48586236	48586286	8
SMAD4	ENSG00000141646	ENST00000398417	-	1	chr18	48591793	48591976	9
SMAD4	ENSG00000141646	ENST00000398417	-	1	chr18	48593389	48593557	10
SMAD4	ENSG00000141646	ENST00000398417	-	1	chr18	48603008	48603146	11
SMAD4	ENSG00000141646	ENST00000398417	-	1	chr18	48604626	48611415	12
MEN1	ENSG00000133895	ENST00000312049	NM_130799	-1	chr11	64575363	64575571	3
MEN1	ENSG00000133895	ENST00000312049	NM_130799	-1	chr11	64575024	64575152	4
MEN1	ENSG00000133895	ENST00000312049	NM_130799	-1	chr11	64574651	64574691	5
MEN1	ENSG00000133895	ENST00000312049	NM_130799	-1	chr11	64574483	64574570	6
MEN1	ENSG00000133895	ENST00000312049	NM_130799	-1	chr11	64573704	64573840	7
MEN1	ENSG00000133895	ENST00000312049	NM_130799	-1	chr11	64573107	64573242	8
MEN1	ENSG00000133895	ENST00000312049	NM_130799	-1	chr11	64577137	64577604	2
MEN1	ENSG00000133895	ENST00000312049	NM_130799	-1	chr11	64572506	64572670	9
MEN1	ENSG00000133895	ENST00000312049	NM_130799	-1	chr11	64570988	64572288	10
MEN1	ENSG00000133895	ENST00000312049	NM_130799	-1	chr11	64578102	64578188	1
ALK	ENSG00000171094	ENST00000389048	NM_004304	-1	chr2	30142859	30144432	1
ALK	ENSG00000171094	ENST00000389048	NM_004304	-1	chr2	29940444	29940563	2
ALK	ENSG00000171094	ENST00000389048	NM_004304	-1	chr2	29917716	29917880	3
ALK	ENSG00000171094	ENST00000389048	NM_004304	-1	chr2	29754781	29754982	4
ALK	ENSG00000171094	ENST00000389048	NM_004304	-1	chr2	29606598	29606725	5
ALK	ENSG00000171094	ENST00000389048	NM_004304	-1	chr2	29551216	29551347	6
ALK	ENSG00000171094	ENST00000389048	NM_004304	-1	chr2	29543617	29543748	7
ALK	ENSG00000171094	ENST00000389048	NM_004304	-1	chr2	29541170	29541270	8
ALK	ENSG00000171094	ENST00000389048	NM_004304	-1	chr2	29519754	29519923	9
ALK	ENSG00000171094	ENST00000389048	NM_004304	-1	chr2	29498268	29498362	10
ALK	ENSG00000171094	ENST00000389048	NM_004304	-1	chr2	29497965	29498093	11
ALK	ENSG00000171094	ENST00000389048	NM_004304	-1	chr2	29473971	29474133	12
ALK	ENSG00000171094	ENST00000389048	NM_004304	-1	chr2	29462546	29462696	13
ALK	ENSG00000171094	ENST00000389048	NM_004304	-1	chr2	29456431	29456562	14
ALK	ENSG00000171094	ENST00000389048	NM_004304	-1	chr2	29455170	29455314	15
ALK	ENSG00000171094	ENST00000389048	NM_004304	-1	chr2	29451750	29451932	16
ALK	ENSG00000171094	ENST00000389048	NM_004304	-1	chr2	29450440	29450538	17
ALK	ENSG00000171094	ENST00000389048	NM_004304	-1	chr2	29449788	29449940	18
ALK	ENSG00000171094	ENST00000389048	NM_004304	-1	chr2	29448327	29448431	19
ALK	ENSG00000171094	ENST00000389048	NM_004304	-1	chr2	29446208	29446394	20
ALK	ENSG00000171094	ENST00000389048	NM_004304	-1	chr2	29445383	29445473	21
ALK	ENSG00000171094	ENST00000389048	NM_004304	-1	chr2	29445210	29445274	22
ALK	ENSG00000171094	ENST00000389048	NM_004304	-1	chr2	29443572	29443701	23
ALK	ENSG00000171094	ENST00000389048	NM_004304	-1	chr2	29436850	29436947	24
ALK	ENSG00000171094	ENST00000389048	NM_004304	-1	chr2	29432652	29432744	25
ALK	ENSG00000171094	ENST00000389048	NM_004304	-1	chr2	29430037	29430138	26
ALK	ENSG00000171094	ENST00000389048	NM_004304	-1	chr2	29420408	29420542	27
ALK	ENSG00000171094	ENST00000389048	NM_004304	-1	chr2	29419636	29419726	28
ALK	ENSG00000171094	ENST00000389048	NM_004304	-1	chr2	29415640	29416788	29
CHEK2	ENSG00000183765	ENST00000328354	NM_007194	-1	chr22	29105994	29106047	7
