Gene_name	Gene_ID	Transcript_ID	RefSeq_ID	Strand	Chromosome	Exon_region_start	Exon_region_end	Exon_rank_in_transcript
TPM1	ENSG00000140416	ENST00000288398	NM_000366	1	chr15	63334831	63335142	1
TPM1	ENSG00000140416	ENST00000288398	NM_000366	1	chr15	63336226	63336351	2
TPM1	ENSG00000140416	ENST00000288398	NM_000366	1	chr15	63349184	63349317	3
TPM1	ENSG00000140416	ENST00000288398	NM_000366	1	chr15	63351762	63351879	4
TPM1	ENSG00000140416	ENST00000288398	NM_000366	1	chr15	63353068	63353138	5
TPM1	ENSG00000140416	ENST00000288398	NM_000366	1	chr15	63353397	63353472	6
TPM1	ENSG00000140416	ENST00000288398	NM_000366	1	chr15	63354414	63354476	7
TPM1	ENSG00000140416	ENST00000288398	NM_000366	1	chr15	63354775	63354844	8
TPM1	ENSG00000140416	ENST00000288398	NM_000366	1	chr15	63356263	63356389	9
TPM1	ENSG00000140416	ENST00000288398	NM_000366	1	chr15	63358095	63358292	10
MIB1	ENSG00000101752	ENST00000261537	NM_020774	1	chr18	19321281	19321773	1
MIB1	ENSG00000101752	ENST00000261537	NM_020774	1	chr18	19345733	19345904	2
MIB1	ENSG00000101752	ENST00000261537	NM_020774	1	chr18	19348584	19348713	3
MIB1	ENSG00000101752	ENST00000261537	NM_020774	1	chr18	19353585	19353689	4
MIB1	ENSG00000101752	ENST00000261537	NM_020774	1	chr18	19358064	19358130	5
MIB1	ENSG00000101752	ENST00000261537	NM_020774	1	chr18	19359442	19359646	6
MIB1	ENSG00000101752	ENST00000261537	NM_020774	1	chr18	19371335	19371518	7
MIB1	ENSG00000101752	ENST00000261537	NM_020774	1	chr18	19378045	19378189	8
MIB1	ENSG00000101752	ENST00000261537	NM_020774	1	chr18	19379802	19379935	9
MIB1	ENSG00000101752	ENST00000261537	NM_020774	1	chr18	19383868	19383975	10
MIB1	ENSG00000101752	ENST00000261537	NM_020774	1	chr18	19395577	19395774	11
MIB1	ENSG00000101752	ENST00000261537	NM_020774	1	chr18	19399456	19399607	12
MIB1	ENSG00000101752	ENST00000261537	NM_020774	1	chr18	19418326	19418458	13
MIB1	ENSG00000101752	ENST00000261537	NM_020774	1	chr18	19423092	19423178	14
MIB1	ENSG00000101752	ENST00000261537	NM_020774	1	chr18	19424053	19424214	15
MIB1	ENSG00000101752	ENST00000261537	NM_020774	1	chr18	19426905	19427086	16
MIB1	ENSG00000101752	ENST00000261537	NM_020774	1	chr18	19429157	19429349	17
MIB1	ENSG00000101752	ENST00000261537	NM_020774	1	chr18	19433101	19433179	18
MIB1	ENSG00000101752	ENST00000261537	NM_020774	1	chr18	19437091	19437204	19
MIB1	ENSG00000101752	ENST00000261537	NM_020774	1	chr18	19438507	19438607	20
MIB1	ENSG00000101752	ENST00000261537	NM_020774	1	chr18	19444487	19450918	21
SGCG	ENSG00000102683	ENST00000218867	NM_000231	1	chr13	23755091	23755214	1
SGCG	ENSG00000102683	ENST00000218867	NM_000231	1	chr13	23777834	23778028	2
SGCG	ENSG00000102683	ENST00000218867	NM_000231	1	chr13	23808750	23808851	3
SGCG	ENSG00000102683	ENST00000218867	NM_000231	1	chr13	23824769	23824856	4
SGCG	ENSG00000102683	ENST00000218867	NM_000231	1	chr13	23853498	23853617	5
SGCG	ENSG00000102683	ENST00000218867	NM_000231	1	chr13	23869554	23869626	6
SGCG	ENSG00000102683	ENST00000218867	NM_000231	1	chr13	23894776	23894899	7
SGCG	ENSG00000102683	ENST00000218867	NM_000231	1	chr13	23898507	23899304	8
HRAS	ENSG00000174775	ENST00000451590	NM_005343	-1	chr11	534212	534375	2
HRAS	ENSG00000174775	ENST00000451590	NM_005343	-1	chr11	533766	533944	3
HRAS	ENSG00000174775	ENST00000451590	NM_005343	-1	chr11	533453	533612	4
HRAS	ENSG00000174775	ENST00000451590	NM_005343	-1	chr11	535416	535550	1
HRAS	ENSG00000174775	ENST00000451590	NM_005343	-1	chr11	532243	532755	5
DSP	ENSG00000096696	ENST00000379802	NM_004415	1	chr6	7541808	7542318	1
DSP	ENSG00000096696	ENST00000379802	NM_004415	1	chr6	7555951	7556053	2
DSP	ENSG00000096696	ENST00000379802	NM_004415	1	chr6	7558349	7558497	3
DSP	ENSG00000096696	ENST00000379802	NM_004415	1	chr6	7559459	7559633	4
DSP	ENSG00000096696	ENST00000379802	NM_004415	1	chr6	7562885	7563013	5
DSP	ENSG00000096696	ENST00000379802	NM_004415	1	chr6	7563969	7564019	6
DSP	ENSG00000096696	ENST00000379802	NM_004415	1	chr6	7565592	7565753	7
DSP	ENSG00000096696	ENST00000379802	NM_004415	1	chr6	7566610	7566714	8
DSP	ENSG00000096696	ENST00000379802	NM_004415	1	chr6	7567587	7567682	9
DSP	ENSG00000096696	ENST00000379802	NM_004415	1	chr6	7568014	7568139	10
DSP	ENSG00000096696	ENST00000379802	NM_004415	1	chr6	7568670	7568822	11
DSP	ENSG00000096696	ENST00000379802	NM_004415	1	chr6	7569419	7569573	12
DSP	ENSG00000096696	ENST00000379802	NM_004415	1	chr6	7570670	7570796	13
DSP	ENSG00000096696	ENST00000379802	NM_004415	1	chr6	7571616	7571817	14
DSP	ENSG00000096696	ENST00000379802	NM_004415	1	chr6	7572075	7572301	15
DSP	ENSG00000096696	ENST00000379802	NM_004415	1	chr6	7574319	7574485	16
DSP	ENSG00000096696	ENST00000379802	NM_004415	1	chr6	7574890	7575028	17
DSP	ENSG00000096696	ENST00000379802	NM_004415	1	chr6	7575528	7575721	18
DSP	ENSG00000096696	ENST00000379802	NM_004415	1	chr6	7576527	7576689	19
DSP	ENSG00000096696	ENST00000379802	NM_004415	1	chr6	7577192	7577275	20
DSP	ENSG00000096696	ENST00000379802	NM_004415	1	chr6	7578012	7578119	21
DSP	ENSG00000096696	ENST00000379802	NM_004415	1	chr6	7578697	7578795	22
DSP	ENSG00000096696	ENST00000379802	NM_004415	1	chr6	7579508	7581802	23
DSP	ENSG00000096696	ENST00000379802	NM_004415	1	chr6	7582875	7586950	24
ACTA2	ENSG00000107796	ENST00000224784	NM_001613	-1	chr10	90712488	90712530	1
ACTA2	ENSG00000107796	ENST00000224784	NM_001613	-1	chr10	90708559	90708710	2
ACTA2	ENSG00000107796	ENST00000224784	NM_001613	-1	chr10	90707015	90707143	3
ACTA2	ENSG00000107796	ENST00000224784	NM_001613	-1	chr10	90703554	90703664	4
ACTA2	ENSG00000107796	ENST00000224784	NM_001613	-1	chr10	90701542	90701626	5
ACTA2	ENSG00000107796	ENST00000224784	NM_001613	-1	chr10	90700986	90701147	6
ACTA2	ENSG00000107796	ENST00000224784	NM_001613	-1	chr10	90699264	90699455	7
ACTA2	ENSG00000107796	ENST00000224784	NM_001613	-1	chr10	90697818	90697999	8
ACTA2	ENSG00000107796	ENST00000224784	NM_001613	-1	chr10	90694831	90695123	9
BAG3	ENSG00000151929	ENST00000369085	NM_004281	1	chr10	121410882	121411367	1
BAG3	ENSG00000151929	ENST00000369085	NM_004281	1	chr10	121429363	121429689	2
BAG3	ENSG00000151929	ENST00000369085	NM_004281	1	chr10	121431767	121432168	3
BAG3	ENSG00000151929	ENST00000369085	NM_004281	1	chr10	121435976	121437331	4
APOB	ENSG00000084674	ENST00000233242	NM_000384	-1	chr2	21266736	21266945	1
APOB	ENSG00000084674	ENST00000233242	NM_000384	-1	chr2	21266385	21266423	2
APOB	ENSG00000084674	ENST00000233242	NM_000384	-1	chr2	21265233	21265348	3
APOB	ENSG00000084674	ENST00000233242	NM_000384	-1	chr2	21263810	21263955	4
APOB	ENSG00000084674	ENST00000233242	NM_000384	-1	chr2	21260830	21260983	5
APOB	ENSG00000084674	ENST00000233242	NM_000384	-1	chr2	21259972	21260127	6
APOB	ENSG00000084674	ENST00000233242	NM_000384	-1	chr2	21258456	21258580	7
APOB	ENSG00000084674	ENST00000233242	NM_000384	-1	chr2	21257688	21257773	8
APOB	ENSG00000084674	ENST00000233242	NM_000384	-1	chr2	21256171	21256390	9
APOB	ENSG00000084674	ENST00000233242	NM_000384	-1	chr2	21255226	21255453	10
APOB	ENSG00000084674	ENST00000233242	NM_000384	-1	chr2	21252770	21252887	11
APOB	ENSG00000084674	ENST00000233242	NM_000384	-1	chr2	21252511	21252657	12
APOB	ENSG00000084674	ENST00000233242	NM_000384	-1	chr2	21251199	21251410	13
APOB	ENSG00000084674	ENST00000233242	NM_000384	-1	chr2	21250700	21250937	14
APOB	ENSG00000084674	ENST00000233242	NM_000384	-1	chr2	21249660	21249836	15
APOB	ENSG00000084674	ENST00000233242	NM_000384	-1	chr2	21247805	21247996	16
APOB	ENSG00000084674	ENST00000233242	NM_000384	-1	chr2	21246397	21246564	17
APOB	ENSG00000084674	ENST00000233242	NM_000384	-1	chr2	21245703	21245914	18
APOB	ENSG00000084674	ENST00000233242	NM_000384	-1	chr2	21242595	21242777	19
APOB	ENSG00000084674	ENST00000233242	NM_000384	-1	chr2	21241864	21241985	20
APOB	ENSG00000084674	ENST00000233242	NM_000384	-1	chr2	21239311	21239521	21
APOB	ENSG00000084674	ENST00000233242	NM_000384	-1	chr2	21238242	21238417	22
APOB	ENSG00000084674	ENST00000233242	NM_000384	-1	chr2	21237945	21238132	23
APOB	ENSG00000084674	ENST00000233242	NM_000384	-1	chr2	21237320	21237465	24
APOB	ENSG00000084674	ENST00000233242	NM_000384	-1	chr2	21236032	21236405	25
APOB	ENSG00000084674	ENST00000233242	NM_000384	-1	chr2	21227952	21235523	26
APOB	ENSG00000084674	ENST00000233242	NM_000384	-1	chr2	21227433	21227547	27
APOB	ENSG00000084674	ENST00000233242	NM_000384	-1	chr2	21227141	21227324	28
APOB	ENSG00000084674	ENST00000233242	NM_000384	-1	chr2	21224301	21226206	29
EFEMP2	ENSG00000172638	ENST00000307998	NM_016938	-1	chr11	65639715	65639832	2
EFEMP2	ENSG00000172638	ENST00000307998	NM_016938	-1	chr11	65639441	65639489	3
EFEMP2	ENSG00000172638	ENST00000307998	NM_016938	-1	chr11	65638628	65638834	4
EFEMP2	ENSG00000172638	ENST00000307998	NM_016938	-1	chr11	65638007	65638129	5
EFEMP2	ENSG00000172638	ENST00000307998	NM_016938	-1	chr11	65637592	65637708	6
EFEMP2	ENSG00000172638	ENST00000307998	NM_016938	-1	chr11	65637328	65637447	7
EFEMP2	ENSG00000172638	ENST00000307998	NM_016938	-1	chr11	65635981	65636100	8
EFEMP2	ENSG00000172638	ENST00000307998	NM_016938	-1	chr11	65635766	65635892	9
EFEMP2	ENSG00000172638	ENST00000307998	NM_016938	-1	chr11	65635332	65635527	10
EFEMP2	ENSG00000172638	ENST00000307998	NM_016938	-1	chr11	65640154	65640377	1
EFEMP2	ENSG00000172638	ENST00000307998	NM_016938	-1	chr11	65633918	65634550	11
HADHA	ENSG00000084754	ENST00000380649	NM_000182	-1	chr2	26467398	26467594	1
HADHA	ENSG00000084754	ENST00000380649	NM_000182	-1	chr2	26461970	26462011	2
HADHA	ENSG00000084754	ENST00000380649	NM_000182	-1	chr2	26461802	26461872	3
HADHA	ENSG00000084754	ENST00000380649	NM_000182	-1	chr2	26459723	26459856	4
HADHA	ENSG00000084754	ENST00000380649	NM_000182	-1	chr2	26457085	26457223	5
HADHA	ENSG00000084754	ENST00000380649	NM_000182	-1	chr2	26455028	26455147	6
HADHA	ENSG00000084754	ENST00000380649	NM_000182	-1	chr2	26453060	26453162	7
HADHA	ENSG00000084754	ENST00000380649	NM_000182	-1	chr2	26437922	26438044	8
HADHA	ENSG00000084754	ENST00000380649	NM_000182	-1	chr2	26437312	26437430	9
HADHA	ENSG00000084754	ENST00000380649	NM_000182	-1	chr2	26435439	26435495	10
HADHA	ENSG00000084754	ENST00000380649	NM_000182	-1	chr2	26432649	26432758	11
HADHA	ENSG00000084754	ENST00000380649	NM_000182	-1	chr2	26426931	26427065	12
HADHA	ENSG00000084754	ENST00000380649	NM_000182	-1	chr2	26424018	26424189	13
HADHA	ENSG00000084754	ENST00000380649	NM_000182	-1	chr2	26420560	26420646	14
HADHA	ENSG00000084754	ENST00000380649	NM_000182	-1	chr2	26417961	26418101	15
HADHA	ENSG00000084754	ENST00000380649	NM_000182	-1	chr2	26417439	26417507	16
HADHA	ENSG00000084754	ENST00000380649	NM_000182	-1	chr2	26416446	26416641	17
HADHA	ENSG00000084754	ENST00000380649	NM_000182	-1	chr2	26415179	26415293	18
HADHA	ENSG00000084754	ENST00000380649	NM_000182	-1	chr2	26414352	26414497	19
HADHA	ENSG00000084754	ENST00000380649	NM_000182	-1	chr2	26413504	26414264	20
SGCD	ENSG00000170624	ENST00000337851	NM_000337	1	chr5	155756544	155756589	2
SGCD	ENSG00000170624	ENST00000337851	NM_000337	1	chr5	155771499	155771687	3
SGCD	ENSG00000170624	ENST00000337851	NM_000337	1	chr5	155935611	155935712	4
SGCD	ENSG00000170624	ENST00000337851	NM_000337	1	chr5	156016241	156016328	5
SGCD	ENSG00000170624	ENST00000337851	NM_000337	1	chr5	156021942	156022061	6
SGCD	ENSG00000170624	ENST00000337851	NM_000337	1	chr5	156074474	156074546	7
SGCD	ENSG00000170624	ENST00000337851	NM_000337	1	chr5	156184592	156184715	8
SGCD	ENSG00000170624	ENST00000337851	NM_000337	1	chr5	155753767	155754242	1
SGCD	ENSG00000170624	ENST00000337851	NM_000337	1	chr5	156186228	156186615	9
LDB3	ENSG00000122367	ENST00000429277	NM_001171610	1	chr10	88439124	88439275	3
LDB3	ENSG00000122367	ENST00000429277	NM_001171610	1	chr10	88439839	88439914	4
LDB3	ENSG00000122367	ENST00000429277	NM_001171610	1	chr10	88446826	88447029	6
LDB3	ENSG00000122367	ENST00000429277	NM_001171610	1	chr10	88451653	88451822	7
LDB3	ENSG00000122367	ENST00000429277	NM_001171610	1	chr10	88452292	88452328	8
